评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3980042006,阿香天天睡得香,女,河北,1183,251,160,我就因为这个决赛圈笑死了,0,2021-04-22 13:22
https://weibo.cn//u/6090770356,画画给你一拳,男,江西,76,13,11,回复@可乐今天干饭了吗:？绿不垃圾的，,0,2021-04-22 13:18
https://weibo.cn//u/5194764542,可乐今天干饭了吗,女,上海,18,99,255,哦~看到我美丽的背影了,0,2021-04-22 12:51
https://weibo.cn//sk8iayl0619,别咬小熊,男,福建,55,288,8088,回复@画画给你一拳:发了，我是被车撞了变成这样。一样，拉满疾跑可以，但没有跑的动作，队友看不到，只有自己看得到。,0,2021-04-22 12:50
https://weibo.cn//u/6090770356,画画给你一拳,男,江西,76,13,11,回复@别咬小熊:没看到你的，我是出生岛就拉不满疾跑，落地就成这样了。,0,2021-04-22 12:49
https://weibo.cn//sk8iayl0619,别咬小熊,男,福建,55,288,8088,你看我刚发的，跟你一样，我是被车撞了变成这样。,0,2021-04-22 12:46
