评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3865469991,凉屿_箬宸,女,广东,3518,357,614,回复@芒果每日C:好棒,0,2021-04-22 11:44 
https://weibo.cn//u/7372817435,蛋糕甜点点心糕点yyds,女,其他,3474,54,576,好棒好棒,0,2021-04-22 05:03 
https://weibo.cn//u/7238038240,玉桂欣欣cinnamoroll-,女,福建,258,129,39,不错子,0,2021-04-19 23:25
https://weibo.cn//u/5665138224,婷不住脚步啊啊啊啊,女,江苏,875,607,90,回复@芒果每日C:嘻嘻，芒果子来我家，做给你吃,0,2021-04-19 17:48
https://weibo.cn//u/2012595665,芒果每日C,女,上海,7805,979,6427853,太厉害了吧！！,1,2021-04-19 14:13
